DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
1417.32,8.651,32.31,3.293,112.876,116.03,3.01,4.062,3.038,3.558,94.858,0.025,2.381,3,0.4959736566382278,0.1630303030303031
1417.396,8.65,32.993,3.292,112.182,111.449,2.943,4.229,3.073,3.678,94.834,0.008,2.384,3,0.46854662475677294,0.16121212121212122
1417.472,8.648,34.447,3.291,110.453,106.561,3.064,4.407,3.121,3.806,94.738,0.01,2.392,3,0.4392815446789403,0.15636363636363637
1417.549,8.645,34.967,3.29,107.514,103.081,3.314,4.581,3.144,3.93,94.58,0.071,2.401,3,0.4184463403682084,0.150909090909091
1417.625,8.643,33.434,3.289,104.124,100.137,3.641,4.732,2.975,4.032,94.377,0.008,2.398,3,0.4008202364915432,0.1527272727272726
1417.701,8.641,30.884,3.288,101.475,96.805,3.28,4.838,2.59,4.096,94.146,0.02,2.4,3,0.38087112707678494,0.15151515151515152
1417.777,8.64,29.538,3.287,100.249,94.577,2.644,4.886,2.209,4.111,93.905,0.031,2.404,3,0.36753180661577606,0.1490909090909091
1417.853,8.641,29.825,3.286,100.143,95.466,2.244,4.882,1.994,4.078,93.667,0.015,2.392,3,0.3728543631192935,0.15636363636363637
1417.93,8.642,30.945,3.285,100.354,98.504,2.288,4.843,1.932,4.015,93.441,0.029,2.38,3,0.3910432569974555,0.16363636363636366
1418.006,8.643,31.685,3.284,100.365,101.743,2.282,4.799,1.924,3.948,93.23,-0.004,2.364,3,0.41043556353839244,0.17333333333333337
1418.082,8.642,32.296,3.283,100.178,102.352,2.35,4.785,1.922,3.908,93.039,0.01,2.366,3,0.41408172429277057,0.172121212121212
1418.158,8.64,34.433,3.282,99.988,98.692,2.308,4.83,2.002,3.921,92.869,0.006,2.372,3,0.39216883700044897,0.16848484848484852
1418.234,8.637,38.049,3.281,99.851,93.881,2.248,4.949,2.301,4.002,92.722,0.041,2.384,3,0.3633647657536297,0.16121212121212122
1418.311,8.635,40.153,3.28,99.594,90.981,2.288,5.141,2.931,4.152,92.601,0.013,2.389,3,0.3460020954946864,0.15818181818181826
1418.387,8.634,39.032,3.279,99.007,89.768,2.268,5.389,3.783,4.357,92.51,0.03,2.4,3,0.33873970962430777,0.15151515151515152
1418.463,8.634,37.206,3.279,98.156,88.35,2.332,5.66,4.323,4.592,92.448,0.014,2.398,3,0.330249962580452,0.1527272727272726
1418.539,8.636,36.798,3.278,97.368,86.381,2.463,5.915,4.365,4.822,92.414,0.03,2.398,3,0.3184613081873971,0.1527272727272726
1418.615,8.638,37.922,3.277,96.957,85.424,2.683,6.118,4.35,5.012,92.409,0.036,2.401,3,0.31273162700194584,0.150909090909091
1418.692,8.64,40.399,3.276,96.975,86.809,3.009,6.248,4.399,5.141,92.429,-0.016,2.398,3,0.3210237988325101,0.1527272727272726
1418.768,8.641,42.754,3.275,97.194,88.652,2.804,6.306,4.353,5.207,92.472,0.068,2.401,3,0.3320580751384523,0.150909090909091
1418.844,8.641,42.917,3.274,97.314,88.374,2.706,6.309,4.122,5.22,92.529,0.032,2.4,3,0.33039365364466394,0.15151515151515152
1418.92,8.641,41.093,3.273,97.208,88.071,2.49,6.279,3.815,5.202,92.591,0.048,2.407,3,0.3285795539589882,0.14727272727272722
1418.996,8.641,38.958,3.272,96.933,89.551,2.7,6.235,3.58,5.173,92.646,0.032,2.398,3,0.33744050291872474,0.1527272727272726
1419.073,8.643,37.193,3.271,96.666,90.908,2.701,6.181,3.482,5.137,92.689,-0.01,2.399,3,0.3455650351743751,0.15212121212121207
